Dataset,Agg,N,DAC_iters_mean,DAC_iters_std,DAC_ET_mean,DAC_ET_std,DAC_final_mean,DAC_final_std,AC_iters_mean,AC_iters_std,AC_ET_mean,AC_ET_std,AC_final_mean,AC_final_std
KIN40K,MOE,10,113.5000,2.2236,57.0341,1.1071,4.556940e-06,1.032823e-06,113.5000,2.2236,57.0341,1.1071,4.556940e-06,1.032823e-06
KIN40K,GPOE,10,160.0000,0.0000,79.9103,0.0027,1.871351e-05,1.869347e-07,160.0000,0.0000,79.9103,0.0027,1.871351e-05,1.869347e-07
KIN40K,POE,10,150.4000,0.8433,75.1527,0.4207,1.827989e-05,1.636018e-06,150.4000,0.8433,75.1527,0.4207,1.827989e-05,1.636018e-06
KIN40K,BCM,10,150.4000,0.8433,75.1527,0.4207,1.827989e-05,1.636018e-06,150.4000,0.8433,75.1527,0.4207,1.827989e-05,1.636018e-06
KIN40K,RBCM,10,160.0000,0.0000,79.9093,0.0026,1.869793e-05,1.859569e-07,160.0000,0.0000,79.9093,0.0026,1.869793e-05,1.859569e-07
POL,MOE,10,101.8000,2.0976,51.2174,1.0568,6.160752e-06,1.436589e-06,101.8000,2.0976,51.2174,1.0568,6.160752e-06,1.436589e-06
POL,GPOE,10,160.4000,0.8433,80.3202,0.4210,2.035670e-05,2.287156e-06,160.4000,0.8433,80.3202,0.4210,2.035670e-05,2.287156e-06
POL,POE,10,153.1000,1.1972,76.6809,0.5821,2.074936e-05,3.118537e-06,153.1000,1.1972,76.6809,0.5821,2.074936e-05,3.118537e-06
POL,BCM,10,153.1000,1.1972,76.6809,0.5821,2.074936e-05,3.118537e-06,153.1000,1.1972,76.6809,0.5821,2.074936e-05,3.118537e-06
POL,RBCM,10,160.4000,0.8433,80.3148,0.4199,2.025157e-05,2.276921e-06,160.4000,0.8433,80.3148,0.4199,2.025157e-05,2.276921e-06
PUMADYN32NM,MOE,10,101.9000,2.7264,51.3189,1.4037,5.308311e-06,1.466938e-06,101.9000,2.7264,51.3189,1.4037,5.308311e-06,1.466938e-06
PUMADYN32NM,GPOE,10,135.4000,3.5963,68.2118,1.7491,4.824797e-06,1.699926e-06,135.4000,3.5963,68.2118,1.7491,4.824797e-06,1.699926e-06
PUMADYN32NM,POE,10,123.1000,3.7550,62.0137,1.8601,5.392909e-06,1.984415e-06,123.1000,3.7550,62.0137,1.8601,5.392909e-06,1.984415e-06
PUMADYN32NM,BCM,10,123.1000,3.7550,62.0137,1.8601,5.392909e-06,1.984415e-06,123.1000,3.7550,62.0137,1.8601,5.392909e-06,1.984415e-06
PUMADYN32NM,RBCM,10,135.4000,3.5963,68.2118,1.7491,4.824546e-06,1.699852e-06,135.4000,3.5963,68.2118,1.7491,4.824546e-06,1.699852e-06
SARCOS,MOE,10,110.0000,2.8674,55.1181,1.5865,1.289053e-06,3.503483e-07,110.0000,2.8674,55.1181,1.5865,1.289053e-06,3.503483e-07
SARCOS,GPOE,10,153.5000,1.6499,76.9101,0.8734,1.218352e-06,2.311050e-07,153.5000,1.6499,76.9101,0.8734,1.218352e-06,2.311050e-07
SARCOS,POE,10,143.4000,1.3499,71.9083,0.7344,1.261836e-06,2.027467e-07,143.4000,1.3499,71.9083,0.7344,1.261836e-06,2.027467e-07
SARCOS,BCM,10,143.4000,1.3499,71.9083,0.7344,1.261836e-06,2.027467e-07,143.4000,1.3499,71.9083,0.7344,1.261836e-06,2.027467e-07
SARCOS,RBCM,10,153.5000,1.6499,76.9101,0.8734,1.218236e-06,2.310802e-07,153.5000,1.6499,76.9101,0.8734,1.218236e-06,2.310802e-07
