Dataset,Level,M,AvgTrainTime_mspt,AvgSMSE,AvgMSLL
KIN40K,Low,500,0.0727596283333333,0.151209867155361,-1.05007719207553
KIN40K,Medium,1500,0.167178726666667,0.0693327979490257,-1.29640143572601
KIN40K,High,2500,0.252075395,0.0526024432983048,-1.0743700697094
POL,Low,500,0.135172518333333,0.0798223532884513,-1.579732361391
POL,Medium,1500,0.304042736666667,0.041901121004788,-1.70364935146465
POL,High,2500,0.490850658333333,0.0336186382501245,-1.65321097996061
PUMADYN32NM,Low,500,0.142722850831299,0.0471726779096428,-1.52031274929252
PUMADYN32NM,Medium,1500,0.365370280199977,0.0471252680625031,-1.5209059617694
PUMADYN32NM,High,2500,0.631541843971631,0.0471421641573651,-1.5206945505355
SARCOS,Low,500,1.57677767599565,0.0258942510371238,-1.60170480989721
SARCOS,Medium,1500,1.72530869506575,0.0223267311924394,-1.71687512180158
SARCOS,High,2500,1.94327662245701,0.022044668374565,-1.72906390431803
