Dataset,Method,Level,M,TrainTime_mean_mspt,TrainTime_std_mspt,SMSE_mean,SMSE_std,MSLL_mean,MSLL_std
KIN40K,POE,Low,500,0.075670725,0.00070103255585957,0.150110779101477,0.0128960542588354,-1.0560719250671,0.0285890540230885
KIN40K,POE,Medium,1500,0.171046108333333,0.00116489377636263,0.0637832939184781,0.00365041511046148,-1.38477084329082,0.0412090842990167
KIN40K,POE,High,2500,0.254858183333333,0.000456092379851198,0.0446970186949098,0.00314371324272252,-1.32324429102713,0.0624371989640926
KIN40K,GPOE,Low,500,0.0742376666666667,0.00275259813691235,0.153963067821181,0.0136320479163325,-1.04355624289399,0.0307491981849742
KIN40K,GPOE,Medium,1500,0.1701713,0.00440384892856521,0.0649428229509845,0.00361187201819284,-1.37984387176238,0.0445491995651586
KIN40K,GPOE,High,2500,0.258450758333333,0.00137860892350163,0.045000900296567,0.00333856398503137,-1.34813615428671,0.0546015986177645
KIN40K,MOE,Low,500,0.0676597833333333,0.00191600039540923,0.148033835572469,0.00861317134016581,-1.05095275476662,0.0148753520950966
KIN40K,MOE,Medium,1500,0.151535458333333,0.00191879249095188,0.0893661609397846,0.00352046992305956,-0.947688464282881,0.0341975098347102
KIN40K,MOE,High,2500,0.23517835,0.00144111825525354,0.0837214511915769,0.00389740039839555,-0.01328749681873,0.0822864174743522
KIN40K,BCM,Low,500,0.0721194916666667,0.00171843563749369,0.150006513139622,0.0130560352438624,-1.05631561652269,0.0291529733828851
KIN40K,BCM,Medium,1500,0.167845225,0.00167807148369044,0.0636466440016263,0.00391840151849623,-1.38863258093544,0.0456811748417996
KIN40K,BCM,High,2500,0.252380291666667,0.00142496316933397,0.0445714222933424,0.00322529274608339,-1.33454653187468,0.0569857633686734
KIN40K,RBCM,Low,500,0.074110475,0.00230900602979399,0.153935140142055,0.0137424435564114,-1.04348942112726,0.0311249397928944
KIN40K,RBCM,Medium,1500,0.175295541666667,0.00514569022133653,0.064925067934255,0.00381401135297112,-1.38107141835854,0.0480882252254539
KIN40K,RBCM,High,2500,0.259509391666667,0.00374532801503534,0.0450214240151279,0.00337489182764792,-1.35263587453975,0.0497283355891788
POL,POE,Low,500,0.136025491666667,0.000675251723587831,0.0779378962134459,0.00463712699785411,-1.61806783132433,0.0125618215965912
